English version	Label	News	Author	Date	URL
Cameras mandatory in school buses: Tamil Nadu government orders	['politics']	" பள்ளி பேருந்துகளில் கேமரா கட்டாயம்: தமிழக அரசு உத்தரவு  
"	செய்திப்பிரிவு	21-Oct-22	https://www.hindutamil.in/news/tamilnadu/885767-camera-are-mandatory-on-school-buses.html
Case for translation of central government scheme names in Tamil - Tamil Nadu Govt...	['politics']	" மத்திய அரசு திட்ட பெயர்களை தமிழில் மொழிபெயர்க்க வழக்கு - தமிழக அரசு...  
"	கி.மகாராஜன்	20-Oct-22	https://www.hindutamil.in/news/tamilnadu/885463-case-for-translation-of-central-government-scheme-names-into-tamil-tamil-nadu-government-ordered-to-respond.html
Russia plans to start production of 'AK 203' rifles in India soon	['politics']	" இந்தியாவில் ‘ஏகே 203’ துப்பாக்கிகள் தயாரிப்பை விரைவில் தொடங்க ரஷ்யா திட்டம்  
"	செய்திப்பிரிவு	20-Oct-22	https://www.hindutamil.in/news/india/885340-russia-plans-to-start-production-of-ak-203-rifles-in-india-soon.html
A case against the police officers for kidnapping a businessman and buying property...	['politics']	" தொழிலதிபரை கடத்தி சொத்துகளை எழுதி வாங்கியதாக காவல் துறை அதிகாரிகளுக்கு எதிரான வழக்கு...  
"	செய்திப்பிரிவு	20-Oct-22	https://www.hindutamil.in/news/tamilnadu/885383-a-case-against-police-officials-for-kidnapping-a-businessman-and-buying-property.html
Tamils ​​will not hesitate to stage a massive protest against Hindi imposition: Kanimozhi warns	['politics']	" இந்தி திணிப்புக்கு எதிராக மிகப்பெரிய போராட்டம் நடத்த தமிழர்கள் தயங்கமாட்டார்கள்: கனிமொழி எச்சரிக்கை  
"	செய்திப்பிரிவு	20-Oct-22	https://www.hindutamil.in/news/tamilnadu/885354-tamilans-will-not-hesitate-to-mount-a-massive-protest-against-the-imposition-of-hindi.html
36th National Games | 4 gold medals for Tamil Nadu in one day...	['sport']	" 36-வது தேசிய விளையாட்டு | ஒரே நாளில் தமிழகத்துக்கு 4 தங்கப் பதக்கம்...  
"	செய்திப்பிரிவு	02-Oct-22	https://www.hindutamil.in/news/sports/877427-36th-national-games-4-gold-medals-for-tamil-nadu-in-one-day.html
T20 World Cup | Bumrah not out yet - Ganguly informs	['sport']	" டி20 உலகக் கோப்பை | பும்ரா இன்னும் வெளியேறவில்லை - கங்குலி தகவல்  
"	செய்திப்பிரிவு	01-Oct-22	https://www.hindutamil.in/news/sports/876438-bumrah-is-not-out-of-the-world-cup-yet-says-ganguly.html
KKR got Suryakumar Yadav's career breakthrough: Ricky Ponting	['sport']	" சூர்யகுமார் யாதவ் கரியருக்கு கேகேஆர் அணியில்தான் திருப்புமுனை கிடைத்தது: ரிக்கி பாண்டிங்  
"	செய்திப்பிரிவு	28-Sep-22	https://www.hindutamil.in/news/sports/875268-suryakumar-yadav-s-career-started-to-turn-around-here-only-ricky-ponting-cricket.html
IND vs  PAK | Kohli hits half century: 182 for Pakistan...	['sport']	" IND vs  PAK | அரை சதம் விளாசிய கோலி: பாகிஸ்தானுக்கு 182...  
"	செய்திப்பிரிவு	04-Sep-22	https://www.hindutamil.in/news/sports/860769-virat-kohli-slams-fifty-india-set-182-runs-as-target-for-pakistan-asia-cup.html
League series that will boost the growth of Indian sports industry National Sports...	['sport']	" இந்திய விளையாட்டுத் துறையின் ஏற்றத்துக்கு ஊக்கம் தரும் லீக் தொடர்கள் | National Sports...  
"	எல்லுச்சாமி கார்த்திக்	29-Aug-22	https://www.hindutamil.in/news/sports/857519-august-29-national-sports-day-india-reason-behind-celebration-sports-persons.html
Introducing NoiseFit Core 2 Smartwatch: Amazing features with 50 sports modes	['tech']	" நாய்ஸ்ஃபிட் கோர் 2 ஸ்மார்ட்வாட்ச் அறிமுகம்: 50 ஸ்போர்ட்ஸ் மோடுகளுடன் அசத்தும் அம்சங்கள்  
"	செய்திப்பிரிவு	22-Aug-22	https://www.hindutamil.in/news/technology/846758-noisefit-core-2-smartwatch-launched-in-india-50-sports-mode-specifications-price.html
Google released 'Android 13' version on Pixel phone: Soon on all phones...	['tech']	" பிக்சல் போனில் 'ஆண்ட்ராய்டு 13' வெர்ஷனை வெளியிட்ட கூகுள்: விரைவில் அனைத்து போன்களிலும்...  
"	செய்திப்பிரிவு	16-Aug-22	https://www.hindutamil.in/news/technology/841135-google-rolls-out-android-13-os-version-in-pixel-very-soon-update-for-rest-phones.html
WhatsApp introduced new privacy features Full details	['tech']	" புதிய பிரைவசி அம்சங்களை அறிமுகம் செய்த வாட்ஸ்அப் | முழு விவரம்  
"	செய்திப்பிரிவு	09-Aug-22	https://www.hindutamil.in/news/technology/837492-whatsapp-announced-new-features-regards-users-privacy-full-details.html
Apple started production of 'iPhone 13' in Sriperumbudur	['tech']	" ஸ்ரீபெரும்புதூரில் ‘ஐபோன் 13’ உற்பத்தியை தொடங்கியது ஆப்பிள் நிறுவனம்  
"	செய்திப்பிரிவு	11-Apr-22	https://www.hindutamil.in/news/technology/787034-apple-started-iphone-13-manufacturing-in-india-chennai-plant.html
Driver blind spot warning device: Nagpur driver's new invention	['tech']	" ஓட்டுநர்கள் கண்ணயர்ந்தால் எச்சரிக்கும் கருவி: நாக்பூர் ஓட்டுநர் புதிய கண்டுபிடிப்பு  
"	செய்திப்பிரிவு	18-Feb-22	https://www.hindutamil.in/news/technology/768910-nagpur-driver-develops-alarm-device-to-caution-drivers-against-sleep-while-driving.html
